algoritmo,algoritmo
var,var
a,var
inteiro,inteiro
b,var
logico,logico
c,var
real,real
d,var
caractere,caractere
inicio,inicio
a,var
=,atrib
a,var
+,op_arit
a,var
b,var
=,atrib
verdadeiro,verdadeiro
b,var
=,atrib
falso,falso
leia,leia
(,(
c,var
),)
c,var
=,atrib
20,valor
+,op_arit
a,var
d,var
=,atrib
joao,msg
se,se
(,(
a,var
>,compara
20,valor
),)
entao,entao
a,var
=,atrib
(,(
a,var
+,op_arit
1,valor
),)
senao,senao
a,var
=,atrib
(,(,
a,var
-,op_arit
1,valor
),)
fimse,fimse
para,para
a,var
de,de
10,valor
ate,ate
20,valor
faca,faca
a,var
=,atrib
(,(
a,var
-,op_arit
1,valor
),)
fimpara,fimpara
fimalgoritmo,fimalgoritmo
